"PAQ560.Code.or.Value","PAQ560.Value.Description","PAQ560.Count","PAQ560.Cumulative","PAQ560.Skip.to.Item"
"0 to 35","Range of Values",1929,1929,NA
"777","Refused",0,1929,NA
"999","Don't know",3,1932,NA
".","Missing",7427,9359,NA
