"SMD770.Code.or.Value","SMD770.Value.Description","SMD770.Count","SMD770.Cumulative","SMD770.Skip.to.Item"
"1 to 5","Range of Values",143,143,NA
"7","Refused",0,143,NA
"9","Don't know",0,143,NA
".","Missing",6615,6758,NA
