"URX1TB.Code.or.Value","URX1TB.Value.Description","URX1TB.Count","URX1TB.Cumulative","URX1TB.Skip.to.Item"
"0.07 to 25.7","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
