"ARQ021BD.Code.or.Value","ARQ021BD.Value.Description","ARQ021BD.Count","ARQ021BD.Cumulative","ARQ021BD.Skip.to.Item"
"2","aching,",520,520,NA
".","Missing",4586,5106,NA
