"OPDSVCDR.Code.or.Value","OPDSVCDR.Value.Description","OPDSVCDR.Count","OPDSVCDR.Cumulative","OPDSVCDR.Skip.to.Item"
"0.12 to 0.9","Range of Values",3190,3190,NA
".","Missing",673,3863,NA
