"MSDNTR.Code.or.Value","MSDNTR.Value.Description","MSDNTR.Count","MSDNTR.Cumulative","MSDNTR.Skip.to.Item"
"1 to 6","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
