"URDNNNLC.Code.or.Value","URDNNNLC.Value.Description","URDNNNLC.Count","URDNNNLC.Cumulative","URDNNNLC.Skip.to.Item"
"0","At or above detection limit",1222,1222,NA
"1","Below lower detection limit",6688,7910,NA
".","Missing",381,8291,NA
