"OCQ610.Code.or.Value","OCQ610.Value.Description","OCQ610.Count","OCQ610.Cumulative","OCQ610.Skip.to.Item"
"0 to 30","Range of Values",3509,3509,NA
"77","Refused",1,3510,NA
"99","Don't know",4,3514,NA
".","Missing",2813,6327,NA
