"AAXRMHUM.Code.or.Value","AAXRMHUM.Value.Description","AAXRMHUM.Count","AAXRMHUM.Cumulative","AAXRMHUM.Skip.to.Item"
"9.1 to 92.5","Range of Values",6961,6961,NA
".","Missing",2479,9440,NA
