"WTSSCH2Y.Code.or.Value","WTSSCH2Y.Value.Description","WTSSCH2Y.Count","WTSSCH2Y.Cumulative","WTSSCH2Y.Skip.to.Item"
"19943.069763 to 604985.17222","Range of Values",2316,2316,NA
"0","No lab specimen",0,2316,NA
".","Missing",0,2316,NA
