"LBXTSH.Code.or.Value","LBXTSH.Value.Description","LBXTSH.Count","LBXTSH.Cumulative","LBXTSH.Skip.to.Item"
"0.04 to 326.4","Range of Values",2342,2342,NA
".","Missing",205,2547,NA
