"SMQ710.Code.or.Value","SMQ710.Value.Description","SMQ710.Count","SMQ710.Cumulative","SMQ710.Skip.to.Item"
"1 to 5","Range of Values",915,915,NA
"7","Refused",0,915,NA
"9","Don't know",1,916,NA
".","Missing",5485,6401,NA
