"SXQ120.Code.or.Value","SXQ120.Value.Description","SXQ120.Count","SXQ120.Cumulative","SXQ120.Skip.to.Item"
"0 to 43","Range of Values",1325,1325,NA
"77777","Refused",0,1325,NA
"99999","Don't know",1,1326,NA
".","Missing",1666,2992,NA
