"SSMTNMPS.Code.or.Value","SSMTNMPS.Value.Description","SSMTNMPS.Count","SSMTNMPS.Cumulative","SSMTNMPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
