"BPXDI4.Code.or.Value","BPXDI4.Value.Description","BPXDI4.Count","BPXDI4.Cumulative","BPXDI4.Skip.to.Item"
"0 to 118","Range of Values",556,556,NA
".","Missing",8148,8704,NA
