"DXXL1TBS.Code.or.Value","DXXL1TBS.Value.Description","DXXL1TBS.Count","DXXL1TBS.Cumulative","DXXL1TBS.Skip.to.Item"
"0.647 to 1.779","Range of Values",4515,4515,NA
".","Missing",3219,7734,NA
