"DXXAL3.Code.or.Value","DXXAL3.Value.Description","DXXAL3.Count","DXXAL3.Cumulative","DXXAL3.Skip.to.Item"
"0 to 3","Range of Values",3167,3167,NA
".","Missing",541,3708,NA
