"BIXC200K.Code.or.Value","BIXC200K.Value.Description","BIXC200K.Count","BIXC200K.Cumulative","BIXC200K.Skip.to.Item"
"10.1 to 97.93","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
