"AUDTYR18.Code.or.Value","AUDTYR18.Value.Description","AUDTYR18.Count","AUDTYR18.Cumulative","AUDTYR18.Skip.to.Item"
"0 to 1.56","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
