"PAQ724v.Code.or.Value","PAQ724v.Value.Description","PAQ724v.Count","PAQ724v.Cumulative","PAQ724v.Skip.to.Item"
"22","SOCCER",368,368,NA
".","Missing",8887,9255,NA
