"AUDTYL11.Code.or.Value","AUDTYL11.Value.Description","AUDTYL11.Count","AUDTYL11.Cumulative","AUDTYL11.Skip.to.Item"
"0 to 2.28","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
