"SLQ200.Code.or.Value","SLQ200.Value.Description","SLQ200.Count","SLQ200.Cumulative","SLQ200.Skip.to.Item"
"1","Don't do this activity for other reasons",290,290,NA
"2","No difficulty",5470,5760,NA
"3","Yes, a little difficulty",608,6368,NA
"4","Yes, moderate difficulty",141,6509,NA
"5","Yes, extreme difficulty",35,6544,NA
"7","Refused",1,6545,NA
"9","Don't know",1,6546,NA
".","Missing",0,6546,NA
