"SSPDE.Code.or.Value","SSPDE.Value.Description","SSPDE.Count","SSPDE.Cumulative","SSPDE.Skip.to.Item"
"79 to 2398.9","Range of Values",78,78,NA
".","Missing",0,78,NA
