"OSD030bi.Code.or.Value","OSD030bi.Value.Description","OSD030bi.Count","OSD030bi.Cumulative","OSD030bi.Skip.to.Item"
"23","23",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",3814,3815,NA
