"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",396,396,""
"2","No",2657,3053,"OSQ130"
"7","Refused",1,3054,"OSQ130"
"9","Don't know",14,3068,"OSQ130"
".","Missing",1,3069,""
