"LBCF09.Code.or.Value","LBCF09.Value.Description","LBCF09.Count","LBCF09.Cumulative","LBCF09.Skip.to.Item"
"0.4596 to 3.942","Range of Values",290,290,NA
".","Missing",11,301,NA
