"SSGIV1O2.Code.or.Value","SSGIV1O2.Value.Description","SSGIV1O2.Count","SSGIV1O2.Cumulative","SSGIV1O2.Skip.to.Item"
"0 to 3.5","Range of Values",904,904,NA
".","Missing",132,1036,NA
