"URXMHHT.Code.or.Value","URXMHHT.Value.Description","URXMHHT.Count","URXMHHT.Cumulative","URXMHHT.Skip.to.Item"
"0.28 to 2346.5","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
