"AUDTYL06.Code.or.Value","AUDTYL06.Value.Description","AUDTYL06.Count","AUDTYL06.Cumulative","AUDTYL06.Skip.to.Item"
"0 to 2.09","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
