"LBXVCF.Code.or.Value","LBXVCF.Value.Description","LBXVCF.Count","LBXVCF.Cumulative","LBXVCF.Skip.to.Item"
"0.006 to 0.267","Range of Values",2858,2858,NA
".","Missing",314,3172,NA
