"WTSPH33.Code.or.Value","WTSPH33.Value.Description","WTSPH33.Count","WTSPH33.Cumulative","WTSPH33.Skip.to.Item"
"0 to 778810.00493","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
