"CSQ260.Code.or.Value","CSQ260.Value.Description","CSQ260.Count","CSQ260.Cumulative","CSQ260.Skip.to.Item"
"1","Yes",1265,1265,NA
"2","No",2537,3802,NA
"7","Refused",0,3802,NA
"9","Don't know",13,3815,NA
".","Missing",0,3815,NA
