"DX2LLLI.Code.or.Value","DX2LLLI.Value.Description","DX2LLLI.Count","DX2LLLI.Cumulative","DX2LLLI.Skip.to.Item"
"3706.8 to 16146.2","Range of Values",467,467,NA
".","Missing",18,485,NA
