"SSQ020a.Code.or.Value","SSQ020a.Value.Description","SSQ020a.Count","SSQ020a.Cumulative","SSQ020a.Skip.to.Item"
"10","Spouse",773,773,NA
"77","Refused",1,774,NA
"99","Don't know",1,775,NA
".","Missing",1059,1834,NA
