"SSGIV1CM.Code.or.Value","SSGIV1CM.Value.Description","SSGIV1CM.Count","SSGIV1CM.Cumulative","SSGIV1CM.Skip.to.Item"
"0 to 100000","Range of Values",903,903,NA
".","Missing",133,1036,NA
