"ARQ118AA.Code.or.Value","ARQ118AA.Value.Description","ARQ118AA.Count","ARQ118AA.Cumulative","ARQ118AA.Skip.to.Item"
"10","Heel spurs",97,97,NA
"77","Refused",1,98,NA
"99","Don't know",129,227,NA
".","Missing",4879,5106,NA
