"LBDBECSI.Code.or.Value","LBDBECSI.Value.Description","LBDBECSI.Count","LBDBECSI.Cumulative","LBDBECSI.Skip.to.Item"
"0.011 to 7.75","Range of Values",6582,6582,NA
".","Missing",853,7435,NA
