"CBD091.Code.or.Value","CBD091.Value.Description","CBD091.Count","CBD091.Cumulative","CBD091.Skip.to.Item"
"0 to 857","Range of Values",8609,8609,NA
"8400","8400 and over",0,8609,NA
"777777","Refused",19,8628,NA
"999999","Don't know",145,8773,NA
".","Missing",481,9254,NA
