"WBXP003.Code.or.Value","WBXP003.Value.Description","WBXP003.Count","WBXP003.Cumulative","WBXP003.Skip.to.Item"
"-49.2346 to 147.9164","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
