"BIXS339K.Code.or.Value","BIXS339K.Value.Description","BIXS339K.Count","BIXS339K.Cumulative","BIXS339K.Skip.to.Item"
"100.7 to 840.2","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
