"WTSBA05.Code.or.Value","WTSBA05.Value.Description","WTSBA05.Count","WTSBA05.Cumulative","WTSBA05.Skip.to.Item"
"0 to 353191.16171","Range of Values",946,946,NA
".","Missing",65,1011,NA
