"SXQ836.Code.or.Value","SXQ836.Value.Description","SXQ836.Count","SXQ836.Cumulative","SXQ836.Skip.to.Item"
"0 to 50","Range of Values",105,105,NA
"100","100 or more",6,111,NA
"77777","Refused",0,111,NA
"99999","Don't know",0,111,NA
".","Missing",4732,4843,NA
