"WTMREP46.Code.or.Value","WTMREP46.Value.Description","WTMREP46.Count","WTMREP46.Cumulative","WTMREP46.Skip.to.Item"
"0 to 266060.30544","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
