"RFXC039.Code.or.Value","RFXC039.Value.Description","RFXC039.Count","RFXC039.Cumulative","RFXC039.Skip.to.Item"
"-7.147 to 5.291","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
