"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",935,935,NA
"1","Below lower detection limit",1720,2655,NA
".","Missing",324,2979,NA
