"MCQ260FC.Code.or.Value","MCQ260FC.Value.Description","MCQ260FC.Count","MCQ260FC.Cumulative","MCQ260FC.Skip.to.Item"
"3","Mother's mother",177,177,"MCQ250G"
".","Missing",9468,9645,""
