"ARQ020B.Code.or.Value","ARQ020B.Value.Description","ARQ020B.Count","ARQ020B.Cumulative","ARQ020B.Skip.to.Item"
"2","UPPER BACK",334,334,NA
".","Missing",4772,5106,NA
