"DXXPT15Y.Code.or.Value","DXXPT15Y.Value.Description","DXXPT15Y.Count","DXXPT15Y.Cumulative","DXXPT15Y.Skip.to.Item"
"179.4 to 414.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
