"DEAINARM.Code.or.Value","DEAINARM.Value.Description","DEAINARM.Count","DEAINARM.Cumulative","DEAINARM.Skip.to.Item"
"1","Captured",2694,2694,NA
"2","Not Captured",5,2699,NA
".","Missing",293,2992,NA
