"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above detection limit",2791,2791,NA
"1","Below lower detection limit",1,2792,NA
".","Missing",187,2979,NA
