"CBQ800.Code.or.Value","CBQ800.Value.Description","CBQ800.Count","CBQ800.Cumulative","CBQ800.Skip.to.Item"
"1","Always",108,108,NA
"2","Most of the time",77,185,NA
"3","Sometimes",185,370,NA
"4","Rarely",227,597,NA
"5","Never",354,951,NA
"6","Do not shop for milk",8,959,NA
"7","Refused",0,959,NA
"9","Don't know",3,962,NA
".","Missing",1983,2945,NA
