"SMD415C.Code.or.Value","SMD415C.Value.Description","SMD415C.Count","SMD415C.Cumulative","SMD415C.Skip.to.Item"
"1","1",90,90,NA
"2","2 or More",10,100,NA
".","Missing",10022,10122,NA
