"LBXZTE.Code.or.Value","LBXZTE.Value.Description","LBXZTE.Count","LBXZTE.Cumulative","LBXZTE.Skip.to.Item"
"0.1201773031 to 659.13","Range of Values",642,642,NA
".","Missing",209,851,NA
