"WTSAU41.Code.or.Value","WTSAU41.Value.Description","WTSAU41.Count","WTSAU41.Cumulative","WTSAU41.Skip.to.Item"
"0 to 477153.72679","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
