"AUXRR110.Code.or.Value","AUXRR110.Value.Description","AUXRR110.Count","AUXRR110.Cumulative","AUXRR110.Skip.to.Item"
"-44 to 83","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
