"AUDTYL38.Code.or.Value","AUDTYL38.Value.Description","AUDTYL38.Count","AUDTYL38.Cumulative","AUDTYL38.Skip.to.Item"
"0 to 4","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
