"RFXC023.Code.or.Value","RFXC023.Value.Description","RFXC023.Count","RFXC023.Cumulative","RFXC023.Skip.to.Item"
"-8.123 to 5.376","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
