"LBDCRYLC.Code.or.Value","LBDCRYLC.Value.Description","LBDCRYLC.Count","LBDCRYLC.Cumulative","LBDCRYLC.Skip.to.Item"
"0","At or above the detection limit",6459,6459,NA
"1","Below lower detection limit",29,6488,NA
".","Missing",947,7435,NA
