"DXXLAFAT.Code.or.Value","DXXLAFAT.Value.Description","DXXLAFAT.Count","DXXLAFAT.Cumulative","DXXLAFAT.Skip.to.Item"
"181.5 to 6857.8","Range of Values",4081,4081,NA
".","Missing",1033,5114,NA
