"DXXPT56X.Code.or.Value","DXXPT56X.Value.Description","DXXPT56X.Count","DXXPT56X.Cumulative","DXXPT56X.Skip.to.Item"
"698.9 to 1237.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
