"BAQ075.Code.or.Value","BAQ075.Value.Description","BAQ075.Count","BAQ075.Cumulative","BAQ075.Skip.to.Item"
"1","Less than 1 year ago,",187,187,NA
"2","1 to 5 years ago, or",123,310,NA
"3","5 years or more ago?",107,417,NA
"7","Refused",0,417,NA
"9","Don't know",1,418,NA
".","Missing",2881,3299,NA
