"URDMMILC.Code.or.Value","URDMMILC.Value.Description","URDMMILC.Count","URDMMILC.Cumulative","URDMMILC.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",2564,2573,NA
".","Missing",121,2694,NA
