"FSQ121.Code.or.Value","FSQ121.Value.Description","FSQ121.Count","FSQ121.Cumulative","FSQ121.Skip.to.Item"
"1","Yes",165,165,NA
"2","No",1546,1711,NA
"7","Refused",0,1711,NA
"9","Don't know",1,1712,NA
".","Missing",1891,3603,NA
