"GTDBL2MN.Code.or.Value","GTDBL2MN.Value.Description","GTDBL2MN.Count","GTDBL2MN.Cumulative","GTDBL2MN.Skip.to.Item"
"69 to 184","Range of Values",2086,2086,NA
".","Missing",627,2713,NA
